STATION ID,TIME,EIGHT WEEK AHEAD,FIVE WEEKS AHEADTWO WEEKS AHEAD,TEN DAYS AHEAD,ONE WEEK AHEAD,THREE DAYS AHEAD,ONE DAY AHEAD,FOUR AHEAD,THREE AHEAD,TWO AHEAD,ONE AHEAD,AVAILABLE BIKES,TARGET
21,2020-02-28 02:20:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:25:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:30:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:35:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:40:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:45:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:50:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 02:55:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:00:03,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:05:03,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:10:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:15:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:20:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:25:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:30:27,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:35:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:40:03,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:45:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-02-28 03:50:02,9,0,0,5,0,0,0,0,0,0,0,0,0
21,2020-03-09 00:05:03,12,3,0,0,12,0,15,15,15,15,14,14,14
21,2020-03-09 00:10:02,12,3,0,0,12,0,15,15,15,15,14,14,14
21,2020-03-09 00:15:02,12,3,0,0,12,0,15,15,15,14,14,14,14
21,2020-03-09 00:20:03,12,3,0,0,12,0,15,15,15,14,14,14,14
21,2020-03-09 00:25:02,12,3,0,0,12,0,15,15,14,14,14,14,14
21,2020-03-09 00:30:02,12,3,0,0,12,0,15,15,14,14,14,14,14
21,2020-03-09 00:35:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 00:40:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 00:45:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 00:50:04,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 00:55:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:00:03,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:05:03,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:10:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:15:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:20:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:25:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:30:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:35:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:40:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:45:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:50:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 01:55:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:00:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:05:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:10:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:15:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:20:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:25:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:30:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:35:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:40:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:45:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:50:03,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 02:55:03,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:00:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:05:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:10:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:15:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:20:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:25:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:30:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:35:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:40:03,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:45:03,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:50:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 03:55:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:00:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:05:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:10:03,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:15:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:20:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:25:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:30:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:35:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:40:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:45:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:50:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 04:55:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 05:00:02,12,3,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 05:05:02,12,2,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 05:10:02,12,2,0,0,12,0,14,14,14,14,14,14,14
21,2020-03-09 05:15:02,12,1,0,0,12,0,14,14,14,14,14,14,15
21,2020-03-09 05:20:02,13,1,0,0,12,0,14,14,14,14,14,14,16
21,2020-03-09 05:25:02,13,1,0,0,12,0,14,14,14,14,14,15,16
21,2020-03-09 05:30:02,14,2,1,1,13,1,14,14,14,14,14,16,16
21,2020-03-09 05:35:02,14,3,1,1,13,1,14,14,14,14,15,16,16
21,2020-03-09 05:40:02,14,3,1,1,13,1,14,14,14,14,16,16,17
21,2020-03-09 05:45:02,14,3,1,1,13,2,14,14,14,15,16,16,17
21,2020-03-09 05:50:02,14,3,1,1,13,2,14,14,14,16,16,17,17
21,2020-03-09 05:55:02,14,3,1,1,13,2,15,14,15,16,16,17,18
21,2020-03-09 06:00:02,13,4,1,1,13,1,15,14,16,16,17,17,18
21,2020-03-09 06:05:02,14,5,1,0,15,2,15,15,16,16,17,18,17
21,2020-03-09 06:10:02,14,5,1,0,14,2,15,16,16,17,17,18,17
21,2020-03-09 06:15:02,14,5,1,0,14,2,15,16,16,17,18,17,17
21,2020-03-09 06:20:02,14,5,0,2,14,2,15,16,17,17,18,17,17
21,2020-03-09 06:25:02,14,5,0,2,14,2,15,16,17,18,17,17,18
21,2020-03-09 06:30:02,13,5,1,2,14,3,15,17,17,18,17,17,18
21,2020-03-09 06:35:02,13,5,1,2,14,3,15,17,18,17,17,18,18
21,2020-03-09 06:40:02,13,5,1,2,14,4,15,17,18,17,17,18,18
21,2020-03-09 06:45:02,13,5,1,2,14,4,15,18,17,17,18,18,20
21,2020-03-09 06:50:02,13,5,1,2,14,5,14,18,17,17,18,18,20
21,2020-03-09 06:55:02,13,7,2,2,15,6,14,17,17,18,18,20,20
21,2020-03-09 07:00:02,13,9,3,4,15,6,14,17,17,18,18,20,20
21,2020-03-09 07:05:02,14,9,3,4,15,8,14,17,18,18,20,20,20
21,2020-03-09 07:10:02,15,9,3,4,16,9,14,17,18,18,20,20,20
21,2020-03-09 07:15:02,15,10,4,4,16,9,15,18,18,20,20,20,20
21,2020-03-09 07:20:02,16,10,4,3,16,9,15,18,18,20,20,20,19
21,2020-03-09 07:25:02,15,10,4,3,16,8,15,18,20,20,20,20,20
21,2020-03-09 07:30:02,15,11,4,3,16,8,15,18,20,20,20,19,20
21,2020-03-09 07:35:02,16,12,3,3,17,8,15,20,20,20,20,20,20
21,2020-03-09 07:40:02,17,11,3,3,17,8,15,20,20,20,19,20,21
21,2020-03-09 07:45:02,19,12,3,3,17,8,15,20,20,20,20,20,21
21,2020-03-09 07:50:02,18,14,2,2,17,7,15,20,20,19,20,21,19
21,2020-03-09 07:55:02,19,13,3,2,19,8,15,20,20,20,20,21,19
21,2020-03-09 08:00:02,19,13,3,2,19,8,16,20,19,20,21,19,17
21,2020-03-09 08:05:02,16,13,3,2,21,10,16,20,20,20,21,19,18
21,2020-03-09 08:10:02,19,13,3,2,22,11,16,19,20,21,19,17,19
21,2020-03-09 08:15:02,23,13,5,2,23,11,16,20,20,21,19,18,21
21,2020-03-09 08:20:02,22,15,5,1,23,14,16,20,21,19,17,19,22
21,2020-03-09 08:25:02,20,18,6,1,23,17,16,20,21,19,18,21,22
21,2020-03-09 08:30:02,20,16,4,2,24,18,17,21,19,17,19,22,23
21,2020-03-09 08:35:02,20,14,6,2,26,18,17,21,19,18,21,22,27
21,2020-03-09 08:40:02,22,18,7,1,29,19,17,19,17,19,22,23,28
21,2020-03-09 08:45:02,23,19,9,3,30,20,16,19,18,21,22,27,26
21,2020-03-09 08:50:03,25,20,7,4,30,21,16,17,19,22,23,28,28
21,2020-03-09 08:55:02,29,21,11,6,30,23,16,18,21,22,27,26,29
21,2020-03-09 09:00:03,30,22,14,6,30,25,16,19,22,23,28,28,29
21,2020-03-09 09:05:02,30,28,14,8,30,30,16,21,22,27,26,29,29
21,2020-03-09 09:10:03,30,29,15,12,30,29,16,22,23,28,28,29,29
21,2020-03-09 09:15:02,29,29,17,14,30,29,16,22,27,26,29,29,29
21,2020-03-09 09:20:02,27,30,17,17,30,29,16,23,28,28,29,29,28
21,2020-03-09 09:25:02,27,30,18,18,30,28,16,27,26,29,29,29,28
21,2020-03-09 09:30:02,28,29,18,18,30,29,16,28,28,29,29,28,27
21,2020-03-09 09:35:02,27,29,18,15,29,26,16,26,29,29,29,28,14
21,2020-03-09 09:40:02,28,29,18,15,29,26,16,28,29,29,28,27,11
21,2020-03-09 09:45:02,29,29,19,15,29,28,16,29,29,29,28,14,11
21,2020-03-09 09:50:02,29,28,19,15,29,29,17,29,29,28,27,11,11
21,2020-03-09 09:55:02,30,30,19,16,27,28,17,29,29,28,14,11,13
21,2020-03-09 10:00:02,29,30,22,18,27,28,17,29,28,27,11,11,13
21,2020-03-09 10:05:02,29,30,21,19,28,29,17,29,28,14,11,13,16
21,2020-03-09 10:10:02,30,30,22,21,29,29,17,28,27,11,11,13,16
21,2020-03-09 10:15:02,30,30,22,22,29,29,17,28,14,11,13,16,16
21,2020-03-09 10:20:02,30,30,22,22,28,29,17,27,11,11,13,16,17
21,2020-03-09 10:25:02,30,30,22,23,28,29,17,14,11,13,16,16,17
21,2020-03-09 10:30:02,30,30,22,24,28,29,17,11,11,13,16,17,19
21,2020-03-09 10:35:02,29,30,23,24,28,29,17,11,13,16,16,17,19
21,2020-03-09 10:40:02,27,30,24,24,29,29,17,11,13,16,17,19,19
21,2020-03-09 10:45:02,27,30,24,24,30,29,17,13,16,16,17,19,19
21,2020-03-09 10:50:02,28,30,23,23,29,28,17,13,16,17,19,19,18
21,2020-03-09 10:55:02,29,30,22,23,29,27,17,16,16,17,19,19,18
21,2020-03-09 11:00:02,30,29,25,23,29,28,17,16,17,19,19,18,18
21,2020-03-09 11:05:02,29,29,25,22,30,28,19,16,17,19,19,18,18
21,2020-03-09 11:10:02,29,30,25,23,30,27,19,17,19,19,18,18,20
21,2020-03-09 11:15:02,29,30,25,23,30,27,19,17,19,19,18,18,20
21,2020-03-09 11:20:02,29,30,25,23,30,27,19,19,19,18,18,20,20
21,2020-03-09 11:25:02,29,30,26,23,30,27,20,19,19,18,18,20,20
21,2020-03-09 11:30:02,21,30,26,23,30,27,20,19,18,18,20,20,20
21,2020-03-09 11:35:02,21,30,26,23,30,29,22,19,18,18,20,20,19
21,2020-03-09 11:40:02,21,30,27,24,30,30,22,18,18,20,20,20,19
21,2020-03-09 11:45:02,21,30,27,26,30,29,22,18,18,20,20,19,19
21,2020-03-09 11:50:02,21,30,27,27,30,30,22,18,20,20,20,19,19
21,2020-03-09 11:55:02,21,30,27,27,29,29,22,18,20,20,19,19,19
21,2020-03-09 12:00:02,21,30,28,27,29,29,22,20,20,20,19,19,20
21,2020-03-09 12:05:02,21,30,29,26,29,29,23,20,20,19,19,19,21
21,2020-03-09 12:10:02,21,30,30,27,30,28,23,20,20,19,19,20,21
21,2020-03-09 12:15:02,21,30,28,27,30,27,23,20,19,19,19,21,21
21,2020-03-09 12:20:02,21,30,28,27,30,28,24,20,19,19,20,21,21
21,2020-03-09 12:25:02,19,29,21,27,29,28,25,19,19,19,21,21,21
21,2020-03-09 12:30:03,19,29,24,18,29,27,25,19,19,20,21,21,22
21,2020-03-09 12:35:02,20,29,24,18,30,29,25,19,19,21,21,21,22
21,2020-03-09 12:40:02,20,29,22,19,30,29,25,19,20,21,21,22,22
21,2020-03-09 12:45:02,22,30,21,21,30,30,27,19,21,21,21,22,23
21,2020-03-09 12:50:02,23,29,22,22,29,30,27,20,21,21,22,22,24
21,2020-03-09 12:55:02,23,30,24,25,28,29,27,21,21,21,22,23,24
21,2020-03-09 13:00:02,23,30,25,26,28,29,27,21,21,22,22,24,24
21,2020-03-09 13:05:02,23,30,25,26,28,29,27,21,21,22,23,24,24
21,2020-03-09 13:10:02,23,21,27,25,28,30,28,21,22,22,24,24,24
21,2020-03-09 13:15:02,10,21,27,24,29,29,28,21,22,23,24,24,24
21,2020-03-09 13:20:02,10,21,26,25,29,30,29,22,22,24,24,24,23
21,2020-03-09 13:25:02,5,20,26,26,28,30,30,22,23,24,24,24,23
21,2020-03-09 13:30:02,6,20,26,26,28,29,30,22,24,24,24,23,23
21,2020-03-09 13:35:02,7,20,26,24,28,29,29,23,24,24,24,23,21
21,2020-03-09 13:40:02,7,20,25,25,28,30,29,24,24,24,23,23,21
21,2020-03-09 13:45:02,8,19,24,24,29,30,29,24,24,24,23,21,21
21,2020-03-09 13:50:02,8,19,24,27,28,28,30,24,24,23,23,21,21
21,2020-03-09 13:55:02,7,19,23,30,28,30,30,24,24,23,21,21,20
21,2020-03-09 14:00:02,7,19,24,29,28,29,30,24,23,23,21,21,20
21,2020-03-09 14:05:02,7,19,24,29,28,29,29,24,23,21,21,20,20
21,2020-03-09 14:10:02,7,19,22,29,20,28,29,23,23,21,21,20,19
21,2020-03-09 14:15:02,7,19,22,29,19,26,29,23,21,21,20,20,19
21,2020-03-09 14:20:02,7,19,22,29,20,25,29,23,21,21,20,19,20
21,2020-03-09 14:25:02,7,19,22,29,20,26,29,21,21,20,20,19,20
21,2020-03-09 14:30:03,7,20,23,30,20,25,30,21,21,20,19,20,23
21,2020-03-09 14:35:03,7,20,24,29,21,26,30,21,20,20,19,20,23
21,2020-03-09 14:40:02,7,20,24,29,20,26,30,21,20,19,20,23,23
21,2020-03-09 14:45:02,7,20,25,25,20,27,29,20,20,19,20,23,23
21,2020-03-09 14:50:02,7,20,25,17,22,29,29,20,19,20,23,23,23
21,2020-03-09 14:55:02,7,19,25,17,22,29,29,20,19,20,23,23,23
21,2020-03-09 15:00:02,8,19,26,17,23,29,30,19,20,23,23,23,23
21,2020-03-09 15:05:02,8,19,26,12,23,28,30,19,20,23,23,23,22
21,2020-03-09 15:10:02,9,19,26,11,23,28,30,20,23,23,23,23,22
21,2020-03-09 15:15:02,9,17,27,13,23,28,30,20,23,23,23,22,22
21,2020-03-09 15:20:02,9,17,29,12,23,28,30,23,23,23,23,22,26
21,2020-03-09 15:25:02,10,17,29,12,23,28,30,23,23,23,22,22,26
21,2020-03-09 15:30:02,10,17,29,12,22,27,30,23,23,23,22,26,25
21,2020-03-09 15:35:02,9,17,29,12,23,26,29,23,23,22,22,26,25
21,2020-03-09 15:40:02,9,18,27,10,20,28,30,23,23,22,26,25,24
21,2020-03-09 15:45:02,10,17,28,9,20,26,29,23,22,22,26,25,24
21,2020-03-09 15:50:02,10,17,28,9,22,24,30,23,22,26,25,24,24
21,2020-03-09 15:55:02,10,18,28,9,22,24,30,22,22,26,25,24,25
21,2020-03-09 16:00:02,10,18,28,9,22,25,29,22,26,25,24,24,26
21,2020-03-09 16:05:02,8,18,26,9,22,25,30,22,26,25,24,25,27
21,2020-03-09 16:10:02,9,18,20,9,23,25,30,26,25,24,24,26,28
21,2020-03-09 16:15:02,9,20,19,9,23,26,30,26,25,24,25,27,27
21,2020-03-09 16:20:02,9,20,20,11,25,26,30,25,24,24,26,28,28
21,2020-03-09 16:25:02,10,22,20,11,25,26,30,25,24,25,27,27,28
21,2020-03-09 16:30:02,10,21,20,16,26,28,29,24,24,26,28,28,28
21,2020-03-09 16:35:02,10,21,18,17,26,29,29,24,25,27,27,28,30
21,2020-03-09 16:40:02,11,21,18,17,26,29,29,24,26,28,28,28,30
21,2020-03-09 16:45:02,12,21,18,18,27,29,29,25,27,27,28,30,27
21,2020-03-09 16:50:02,11,23,18,19,27,28,29,26,28,28,28,30,28
21,2020-03-09 16:55:02,11,23,17,20,28,27,29,27,27,28,30,27,28
21,2020-03-09 17:00:02,11,25,19,17,27,27,29,28,28,28,30,28,28
21,2020-03-09 17:05:02,11,26,19,18,27,28,29,27,28,30,27,28,26
21,2020-03-09 17:10:02,11,26,20,18,27,28,29,28,28,30,28,28,27
21,2020-03-09 17:15:02,11,23,21,18,28,28,29,28,30,27,28,26,27
21,2020-03-09 17:20:02,11,20,21,16,28,29,28,28,30,28,28,27,28
21,2020-03-09 17:25:02,11,21,23,16,30,28,28,30,27,28,26,27,27
21,2020-03-09 17:30:02,11,23,23,16,28,29,27,30,28,28,27,28,25
21,2020-03-09 17:35:02,23,21,25,18,29,29,27,27,28,26,27,27,25
21,2020-03-09 17:40:02,23,22,25,20,30,29,26,28,28,27,28,25,24
21,2020-03-09 17:45:02,18,20,23,22,30,28,24,28,26,27,27,25,25
21,2020-03-09 17:50:02,20,22,22,23,30,26,24,28,27,28,25,24,26
21,2020-03-09 17:55:02,20,25,19,23,29,26,23,26,27,27,25,25,26
21,2020-03-09 18:00:02,19,28,20,23,30,24,23,27,28,25,24,26,24
21,2020-03-09 18:05:02,19,27,19,22,30,24,23,27,27,25,25,26,22
21,2020-03-09 18:10:02,17,26,17,22,30,23,23,28,25,24,26,24,22
21,2020-03-09 18:15:02,17,26,15,24,29,25,23,27,25,25,26,22,20
21,2020-03-09 18:20:02,14,26,16,24,29,25,22,25,24,26,24,22,20
21,2020-03-09 18:25:02,16,27,16,24,30,26,22,25,25,26,22,20,19
21,2020-03-09 18:30:02,15,27,16,23,30,29,21,24,26,24,22,20,18
21,2020-03-09 18:35:02,15,24,16,23,27,29,21,25,26,22,20,19,18
21,2020-03-09 18:40:02,14,22,16,21,27,29,21,26,24,22,20,18,17
21,2020-03-09 18:45:02,14,19,16,22,27,29,20,26,22,20,19,18,17
21,2020-03-09 18:50:02,14,17,15,22,28,28,20,24,22,20,18,17,17
21,2020-03-09 18:55:02,13,15,12,22,27,27,20,22,20,19,18,17,17
21,2020-03-09 19:00:02,14,15,13,22,25,24,19,22,20,18,17,17,16
21,2020-03-09 19:05:02,14,14,13,22,24,26,19,20,19,18,17,17,18
21,2020-03-09 19:10:02,14,13,13,22,22,26,19,20,18,17,17,16,16
21,2020-03-09 19:15:02,12,13,12,22,21,24,19,19,18,17,17,18,15
21,2020-03-09 19:20:02,13,16,12,21,20,25,19,18,17,17,16,16,16
21,2020-03-09 19:25:02,13,15,14,21,22,25,19,18,17,17,18,15,14
21,2020-03-09 19:30:02,16,15,14,21,23,25,19,17,17,16,16,16,12
21,2020-03-09 19:35:02,16,14,14,21,23,27,19,17,17,18,15,14,12
21,2020-03-09 19:40:02,16,12,11,20,21,27,18,17,16,16,16,12,12
21,2020-03-09 19:45:02,14,11,10,20,19,27,18,17,18,15,14,12,11
21,2020-03-09 19:50:02,14,11,8,16,19,27,18,16,16,16,12,12,11
21,2020-03-09 19:55:02,14,10,8,16,19,25,18,18,15,14,12,11,11
21,2020-03-09 20:00:02,14,10,8,16,17,24,18,16,16,12,12,11,11
21,2020-03-09 20:05:02,14,10,7,16,17,24,19,15,14,12,11,11,11
21,2020-03-09 20:10:02,14,10,7,13,17,23,18,16,12,12,11,11,11
21,2020-03-09 20:15:02,12,11,7,12,15,23,18,14,12,11,11,11,12
21,2020-03-09 20:20:02,13,11,7,12,14,24,17,12,12,11,11,11,12
21,2020-03-09 20:25:02,13,10,7,13,13,24,17,12,11,11,11,12,12
21,2020-03-09 20:30:02,13,10,7,13,13,24,16,12,11,11,11,12,12
21,2020-03-09 20:35:02,13,9,7,13,12,24,16,11,11,11,12,12,11
21,2020-03-09 20:40:02,13,10,7,13,10,25,16,11,11,11,12,12,12
21,2020-03-09 20:45:02,14,10,6,13,10,24,16,11,11,12,12,11,12
21,2020-03-09 20:50:02,13,9,6,12,10,24,15,11,11,12,12,12,12
21,2020-03-09 20:55:02,13,9,6,13,10,23,15,11,12,12,11,12,12
21,2020-03-09 21:00:02,13,9,7,14,10,23,15,11,12,12,12,12,11
21,2020-03-09 21:05:02,11,9,7,13,10,22,15,12,12,11,12,12,11
21,2020-03-09 21:10:02,11,7,6,13,9,22,15,12,12,12,12,11,10
21,2020-03-09 21:15:02,9,7,6,13,6,22,15,12,11,12,12,11,10
21,2020-03-09 21:20:02,9,6,6,13,6,21,15,12,12,12,11,10,10
21,2020-03-09 21:25:02,9,5,6,15,5,20,15,11,12,12,11,10,8
21,2020-03-09 21:30:02,9,5,6,14,4,19,15,12,12,11,10,10,8
21,2020-03-09 21:35:02,9,4,6,12,4,19,15,12,12,11,10,8,7
21,2020-03-09 21:40:03,9,3,4,11,2,18,15,12,11,10,10,8,6
21,2020-03-09 21:45:02,7,2,3,11,0,17,15,12,11,10,8,7,5
21,2020-03-09 21:50:02,7,0,2,12,0,11,15,11,10,10,8,6,5
21,2020-03-09 21:55:02,6,0,2,12,0,12,15,11,10,8,7,5,4
21,2020-03-09 22:00:02,6,0,2,11,0,12,15,10,10,8,6,5,4
21,2020-03-09 22:05:02,6,0,3,11,0,12,15,10,8,7,5,4,4
21,2020-03-09 22:10:02,6,0,2,10,0,10,15,10,8,6,5,4,4
21,2020-03-09 22:15:02,6,0,0,10,0,10,15,8,7,5,4,4,4
21,2020-03-09 22:20:02,6,0,0,10,0,10,16,8,6,5,4,4,4
21,2020-03-09 22:25:02,5,0,0,10,0,10,16,7,5,4,4,4,4
21,2020-03-09 22:30:03,5,0,0,10,0,10,16,6,5,4,4,4,4
21,2020-03-09 22:35:02,5,0,1,11,0,11,16,5,4,4,4,4,3
21,2020-03-09 22:40:02,5,0,1,10,0,11,16,5,4,4,4,4,3
21,2020-03-09 22:45:02,5,0,1,10,0,9,16,4,4,4,4,3,2
21,2020-03-09 22:50:02,6,0,1,9,0,9,16,4,4,4,4,3,2
21,2020-03-09 22:55:02,5,0,1,9,0,8,16,4,4,4,3,2,2
21,2020-03-09 23:00:02,5,0,1,8,0,8,16,4,4,4,3,2,2
21,2020-03-09 23:05:02,3,0,0,8,0,7,15,4,4,3,2,2,2
21,2020-03-09 23:10:02,3,0,0,8,0,7,15,4,4,3,2,2,2
21,2020-03-09 23:15:02,3,0,0,8,0,8,15,4,3,2,2,2,2
21,2020-03-09 23:20:02,2,0,0,4,0,8,15,4,3,2,2,2,2
21,2020-03-09 23:25:02,2,0,0,4,0,8,15,3,2,2,2,2,2
21,2020-03-09 23:50:02,0,0,1,3,0,8,15,2,2,2,2,2,2
21,2020-03-10 00:15:02,0,0,1,0,0,4,14,2,2,2,1,1,1
21,2020-03-10 00:20:02,0,0,1,0,0,3,14,2,2,2,1,1,1
21,2020-03-10 00:25:02,0,0,1,1,0,3,14,2,2,1,1,1,1
21,2020-03-10 00:30:02,0,0,0,1,0,3,14,2,2,1,1,1,1
21,2020-03-10 00:35:02,0,0,0,1,0,2,14,2,1,1,1,1,1
